Kode Kantor;Nama Kantor;Kota;Nama Kantor Wilayah
4410190000;KPP Pratama Gorontalo;Kota Gorontalo;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4410200000;KPP Pratama Kotamobagu;Kota Kotamobagu;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4410210000;KPP Pratama Tahuna;Kabupaten Kepulauan Sangihe;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4410220000;KPP Pratama Luwuk;Kabupaten Banggai;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4410230000;KPP Pratama Palu;Kota Palu;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4410240000;KPP Pratama Poso;Kabupaten Morowali;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4410260000;KPP Pratama Tobelo;Kabupaten Halmahera Utara;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4410270000;KPP Pratama Ternate;Kota Ternate;Kanwil Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara
4502010000;KPP Madya Denpasar;Kota Denpasar;Kanwil Bali
4502090000;KPP Pratama Badung Selatan;Kota Denpasar;Kanwil Bali
4502100000;KPP Pratama Badung Utara;Kota Denpasar;Kanwil Bali
4502110000;KPP Pratama Gianyar;Kabupaten Gianyar;Kanwil Bali
4502120000;KPP Pratama Denpasar Barat;Kota Denpasar;Kanwil Bali
4502130000;KPP Pratama Denpasar Timur;Kota Denpasar;Kanwil Bali
4502140000;KPP Pratama Singaraja;Kabupaten Buleleng;Kanwil Bali
4502150000;KPP Pratama Tabanan;Kabupaten Tabanan;Kanwil Bali
4503140000;KPP Pratama Mataram Timur;Kota Mataram;Kanwil Nusa Tenggara
4503150000;KPP Pratama Mataram Barat;Kota Mataram;Kanwil Nusa Tenggara
4503160000;KPP Pratama Praya;Kabupaten Lombok Tengah;Kanwil Nusa Tenggara
4503170000;KPP Pratama Sumbawa Besar;Kabupaten Sumbawa;Kanwil Nusa Tenggara
4503180000;KPP Pratama Raba Bima;Kota Bima;Kanwil Nusa Tenggara
4503190000;KPP Pratama Ende;Kabupaten Ende;Kanwil Nusa Tenggara
4503200000;KPP Pratama Ruteng;Kabupaten Manggarai Barat;Kanwil Nusa Tenggara
4503210000;KPP Pratama Maumere;Kabupaten Sikka;Kanwil Nusa Tenggara
4503220000;KPP Pratama Atambua;Kota Atambua;Kanwil Nusa Tenggara
4503230000;KPP Pratama Kupang;Kota Kupang;Kanwil Nusa Tenggara
4503240000;KPP Pratama Waingapu;Kabupaten Sumba Timur;Kanwil Nusa Tenggara
4511150000;KPP Pratama Ambon;Kota Ambon;Kanwil Papua, Papua Barat, dan Maluku
4511160000;KPP Pratama Jayapura;Kota Jayapura;Kanwil Papua, Papua Barat, dan Maluku
4511170000;KPP Pratama Merauke;Kabupaten Merauke;Kanwil Papua, Papua Barat, dan Maluku
4511180000;KPP Pratama Manokwari;Kabupaten Manokwari;Kanwil Papua, Papua Barat, dan Maluku
4511190000;KPP Pratama Sorong;Kota Sorong;Kanwil Papua, Papua Barat, dan Maluku
4511200000;KPP Pratama Timika;Kabupaten Mimika;Kanwil Papua, Papua Barat, dan Maluku
4511210000;KPP Pratama Biak;Kabupaten Biak Numfor;Kanwil Papua, Papua Barat, dan Maluku
4601130000;KPP Penanaman Modal Asing Satu;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601140000;KPP Penanaman Modal Asing Dua;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601150000;KPP Penanaman Modal Asing Tiga;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601160000;KPP Penanaman Modal Asing Empat;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601170000;KPP Penanaman Modal Asing Lima;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601180000;KPP Penanaman Modal Asing Enam;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601210000;KPP Perusahaan Masuk Bursa;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601230000;KPP Badan dan Orang Asing;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4601240000;KPP Minyak dan Gas Bumi;Kota Jakarta Selatan;Kanwil Jakarta Khusus
4602010000;KPP Wajib Pajak Besar Satu;Kota Jakarta Selatan;Kanwil Wajib Pajak Besar
4602020000;KPP Wajib Pajak Besar Dua;Kota Jakarta Selatan;Kanwil Wajib Pajak Besar
4602070000;KPP Wajib Pajak Besar Tiga;Kota Jakarta Selatan;Kanwil Wajib Pajak Besar
4602080000;KPP Wajib Pajak Besar Empat;Kota Jakarta Selatan;Kanwil Wajib Pajak Besar
